67,Mediatonic,8,0,$257.3m,$32.2m,$427k,United Kingdom
68,Klei Entertainment,11,2,$249.4m,$22.7m,$3.7m,Canada
69,Rare Ltd,1,0,$249m,$249m,$249m,United Kingdom
70,Amazon Games,1,0,$246.9m,$246.9m,$246.9m,United States
71,Forgotten Empires,5,0,$245.2m,$49m,$66m,
72,FromSoftware,3,0,$243.9m,$81.3m,$202.2m,Japan
73,Ubisoft,21,1,$239.8m,$11.4m,$1.3m,France
74,Saber Interactive,15,2,$239.4m,$16m,$1.1m,United States
75,Respawn Entertainment,5,0,$229.2m,$45.8m,$91.8m,United States
76,Arkane Studios,14,0,$224.8m,$16.1m,$8m,France
77,Capcom,17,0,$223m,$13.1m,$3m,Japan
78,Psyonix LLC,1,0,$218.1m,$218.1m,$0,United States
79,Fatshark,10,0,$215.7m,$21.6m,$5.1m,Sweden
80,2K Australia,5,0,$203.5m,$40.7m,$54.4m,
